overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
5.0,True,"05 21, 2015",A2H6A6LKJNF5NC,B00EZPXYP4,{'Platform:': ' PC Disc'},Bill Smail,Great,Five Stars,1432166400,,
1.0,True,"05 10, 2015",A1MRTZO4JT5P4H,B00EZPXYP4,{'Platform:': ' PC Disc'},PHOTOMAN225,"I just tried to log into Identity Safe, which I have been using for months, and Norton no longer accepted my login.  I wasted time with Customer Service and I could not get Norton to send me a verification code to send to my mobile phone or email account.  Now I have to look up all my passwords manually.  This is why I just don't trust cloud computing.  Imagine if this happened to all your other information you have on the cloud!!!!!",Just don't trust cloud computing!,1431216000,,
5.0,True,"04 25, 2015",A2NSI7M0FKID7E,B00EZPXYP4,{'Platform:': ' PC Download'},C. Hovde,Love Norton 360.  The reality is most antivirus work.  I'm so used to Norton products and prefer it to when I used to use McAfee.,Love Norton 360,1429920000,,
5.0,True,"04 11, 2015",A20YVM44ZB2K00,B00EZPXYP4,{'Platform:': ' PC Download'},Janis O&#039;Donnell,Tried using Kaspersky due to price and thought that Norton took up too much computer space.  Wound up buying Norton again due to automatic updates and scans.,Tried using Kaspersky due to price and thought that Norton ...,1428710400,,
3.0,True,"04 11, 2015",A1PKJZRM97ELT8,B00EZPXYP4,{'Platform:': ' PC Disc'},Widgeted,Not really great but not sure there is a better one.,Three Stars,1428710400,,
5.0,True,"01 14, 2015",A2QOMZA6Z2S9O0,B00EZPXYP4,{'Platform:': ' PC Disc'},John Dickman,"Good product, better price.",Five Stars,1421193600,,
5.0,True,"12 6, 2014",A3ETKAYC6QUMI0,B00EZPXYP4,{'Platform:': ' PC Disc'},RWH,"Excellent value and protects and tunes up the computer, does the job.",Five Stars,1417824000,,
4.0,True,"12 3, 2014",AZW10G02DNJI4,B00EZPXYP4,{'Platform:': ' PC Disc'},Dr. Feel Good,THE PRODUCT WAS INSTALLED ON THREE HOUSEHOLD COMPUTERS WITHOUT DIFFICULTY.  YOU WILL GET A FEW UPDATES SO THE PRODUCT IS NOT FRESH.  I THINK THE PRODUCT PUTS MORE ADVERTISEMENTS ON YOUR SCREEN BECAUSE I KEEP GETTING INFO ABOUT IDENTITY AND PASSWORDS.  HOPEFULLY THIS WILL NOT CONTINUE VERY LONG. MY PRODUCT THAT WAS INSTALLED WAS GOING TO EXPIRE SO I WAITED UNTIL THE DAY BEFORE TO INSTALL THIS VERSION.  YOU DON'T GET DAYS ADDED TO THE NEW VERSION IF YOU INSTALL WITH DAYS LEFT ON YOUR SUBSCRIPTION.  NO COMPLICATIONS BUT I'M UNSURE IF THERE IS AN EASIER WAY TO INSTALL.  YOU HAVE A COUPLE OF OPTIONS.  THE DOWNLOAD WITH THE ID KEY SEEMS THE BEST TO ME.  NOT MUCH DIFFERENT FROM PRIOR VERSIOS BUT ALLOWS UPDATES AND YOU WILL NEED THEM IN TODAY'S HACKING WORLD.,USED FOR MANY YEARS WITHOUT REGRETS,1417564800,,
5.0,True,"12 2, 2014",AG4KRBT4E0B1L,B00EZPXYP4,{'Platform:': ' PC Download'},Bill,Good,Five Stars,1417478400,,
5.0,True,"11 30, 2014",A3ISA8LBB5P34E,B00EZPXYP4,{'Platform:': ' PC Download'},cm,I have used this product for many years and it does what it's suppose to do along with some additional features not found in most other products like tune-up and loose-end registry clean-up.,Security +,1417305600,,
3.0,True,"11 16, 2014",A3935GZFLPU28D,B00EZPXYP4,{'Platform:': ' PC Download'},R. Bauer,"Norton 360 ""does the job"" toward protecting a computer. Have used this software for years. However, tech support is somewhat difficult as one attempts negotiating their internet site maze. New users beware.","Norton 360 ""does the job"" toward protecting a computer. ...",1416096000,,
5.0,True,"11 11, 2014",A3QSZ2SE3HUSXM,B00EZPXYP4,{'Platform:': ' PC Disc'},bluezman714,"On 11/11/14 I renewed my Norton subcription with the CD product. After installing the CD, it said it was recommended to install ONLINE and so I did. I had to enter my username and password. Norton recongnized the newer version but it didn't update the remaining days (366).  Once the ONLINE installation was completed. There still was a screen opened by Norton which is the same screen that recommended updating this newer version ONLINE, but I decided to install it using the CD.

The CD took off and installed itself in about 2 minutes. I then went to my Norton Account which was still opened and it was then it showed a 30 day free subcription countdown. Next to that it had ... I think it said a update icon. I clicked onto that and the Countdown changed to 367 days remaining on my new subscription. So, I was happy.

Also, if you've used Norton throughout the years and have other Norton Accounts using old email addresses, the way to delete them is to CHAT ONLINE with Norton by going to their website and contacting their techs, use your old email address when you fill out the form to start the chat, once they get to you, tell them to delete the old account with the old email address and they will do it.",Great Price,1415664000,,
4.0,True,"10 28, 2014",A2KYC21WDNY5L,B00EZPXYP4,{'Platform:': ' PC Disc'},JoeBulldog,"As advertised put it on three machines. One computer went down and Norton's technical people put it back on for me.
A great company.",A great company.,1414454400,,
5.0,True,"10 23, 2014",A1R3PI724B1SIG,B00EZPXYP4,{'Platform:': ' PC Download'},Tumi,Great product,Five Stars,1414022400,,
5.0,True,"10 20, 2014",A12B0WVHZDEZL3,B00EZPXYP4,{'Platform:': ' PC Disc'},Trice,always love norton. Came at the expected time.,Five Stars,1413763200,,
3.0,True,"10 20, 2014",AWMRW0WDB7VFJ,B00EZPXYP4,{'Platform:': ' PC Download'},Petls,does not prevent little annoying viruses in,Three Stars,1413763200,,
5.0,True,"10 11, 2014",A1W476YCP7DZ2S,B00EZPXYP4,{'Platform:': ' PC Download'},BillH,"I've been using Norton anti-virus and backup products for years.  While they had their installation and usage problems early on, they have gotten better year by year.  This year's edition installs flawlessly on Vista, Win7 and Win8 computers.  While Norton occasionally informs us that it has blocked an intrusion, we have never had any spyware, malware or virus problems while using this product.
Not only that, but Amazon's download prices are the best, far cheaper than purchasing the product directly from Symantec.",The best anti-virus software extant.,1412985600,,
5.0,True,"10 10, 2014",A3VHYQ0MSE35HJ,B00EZPXYP4,{'Platform:': ' PC Disc'},PonyExpress,We always choose Norton 360  with no issues  and purchased this set for our grand son,We only choose Norton Symantec to protect our computers for over 20 years,1412899200,,
5.0,True,"10 8, 2014",A2B9N8LRE4CG7O,B00EZPXYP4,{'Platform:': ' PC Download'},Jesse Crenshaw,WORKS GREAT,Five Stars,1412726400,,
5.0,True,"10 6, 2014",AEU0PXF31KEOC,B00EZPXYP4,{'Platform:': ' PC Download'},Vulkrider,No issues. Good deal.,Good Deal,1412553600,,
4.0,True,"09 22, 2014",A2VD7NGNH1KPDZ,B00EZPXYP4,{'Platform:': ' PC Disc'},Big Daddy,Very good product as always. Works well.,Good product,1411344000,,
5.0,True,"09 20, 2014",A1GGXJZOI5GEAQ,B00EZPXYP4,{'Platform:': ' PC Disc'},Alan Rayner,I have had NORTON products in the past and was very happy with them. I like them even better now because they do not pester you all year long trying to sell you something new.,... had NORTON products in the past and was very happy with them,1411171200,,
5.0,True,"09 15, 2014",A28I98PKHZZKVB,B00EZPXYP4,{'Platform:': ' PC Disc'}, S.Trasny,"I was tired of trying different products that did different things and often competed with each other when I asked my sis-in-law what products she recommended to protect her computers, manage backups and secure her identity. She has worked with computers for decades and proudly holds the title of Family Geek to this day. She gifted me with my first license for Norton 360 about 2008 and I have resubscribed ever since.

The most important stuff that Norton 360 does is rarely noticeable. Every once in awhile, while surfing, I will get a heads up about a website known for malicious activity or told that a file I tried to download is corrupt. N360 runs regular scans to check for viruses and infections or to let me know when it is time to take some additional action to tune up for performance. My favorite and most used feature is the Identity Safe, which does exactly what Norton says: ""remembers, secures, and automatically enters your usernames and passwords for you, so they can't be lost or stolen.""

One trick that I learned (that at least one other person here has shared) is do not set up your account to automatically renew. I have a Google alert set up to let me know when Amazon and other retailers have it on sale. I have easily saved as much as 75% compared to what Norton would have charged me to auto-renew. You can even buy a couple at a time because the key codes stack.

After years of concerns about our home PCs getting hacked, infected or whatever, it has been great to really not think of it much at all.",Because I Don't Want To Think About It,1410739200,,
5.0,True,"09 14, 2014",AV7GZCYS1S3G7,B00EZPXYP4,{'Platform:': ' PC Disc'},Nancy Realtor,"I have had good luck with Norton 360 for over three years now.  The price was right for 3 licenses using this program, so Amazon didn't let me down.  They have the good products that I use with lower prices and speedier delivery.  Thanks, Amazon.com!",Best price for Norton 360 for 3 licenses!,1410652800,,
5.0,True,"09 12, 2014",A3C2O6SS4ITQHC,B00EZPXYP4,{'Platform:': ' PC Disc'},Eric,Great PC virus protection & maintenance.,Five Stars,1410480000,,
5.0,True,"09 7, 2014",A282Q8NF63SZ97,B00EZPXYP4,{'Platform:': ' PC Disc'},JJM,"i renew it every year for a long time now, tried alot of others and their was always issues doing simple things even for a computer orientated person. haven't tried them all, never had a virus either. just shop around on amazon and watch the price, it can fluctuate greatly",renew every year,1410048000,,
5.0,True,"09 6, 2014",A3ST1UEQOH94CF,B00EZPXYP4,{'Platform:': ' PC Download'},Fred,"Automatic backup feature is great.  Typical great Norton virus protection and scanning.  Had problem installing software that took three days to resolve, but once resolved, no problems since.  Highly recommend.",Automatic backup feature is great.,1409961600,,
5.0,True,"08 29, 2014",A3N7HGTKWF3P2N,B00EZPXYP4,{'Platform:': ' PC Download'},Calljoec,As always a good product,Five Stars,1409270400,,
5.0,True,"08 21, 2014",A536M59DMDN1Y,B00EZPXYP4,{'Platform:': ' PC Download'},Juan A. Mendez,great item. delivery was on time.,Five Stars,1408579200,,
5.0,True,"08 21, 2014",AP713Q6I5T1XW,B00EZPXYP4,{'Platform:': ' PC Disc'},Joy2day,Norton is the only antivirus that I trust for my computer,Five Stars,1408579200,,
5.0,True,"08 21, 2014",A3OKJR8V2MR3Z9,B00EZPXYP4,{'Platform:': ' PC Disc'},Robert Manning,"I  purchase my Norton 360 each year from Amzon. They have the best price, even better than buying it from Norton.",Keep your PC running smoothly,1408579200,,
3.0,True,"08 17, 2014",A2D8O4ANMAXKNX,B00EZPXYP4,{'Platform:': ' PC Download'},R. Guevara,"I have many years like IT consultor and Norton is not the only answer to destroy infections, there are something else that Norton can't detect.
Unfortunately, Symantec is losing their quality in its products, is a shame that AntiVirus like Norton don't take the opinion of his customers. Nowadays Norton only detects Virus but not the ""Potentially Unwanted Programs (PUP)"", for this last, you need Malwarebytes or other antimalware software. Then finally you need to buy two or more licenses of other companies to close the breach. Finally the customer support take the easy way to repair its software like uninstall without consider your custom settings, if you did a complex set up, then better resign yourself to losing it, because they uninstall without consider that.",Symantec is losing their quality in its products,1408233600,,
5.0,True,"08 12, 2014",A2OBHKWE8YKZJI,B00EZPXYP4,{'Platform:': ' PC Download'},searchtower,works great will see you next year.,Five Stars,1407801600,,
3.0,True,"08 4, 2014",AYVMCMD8RRXEJ,B00EZPXYP4,{'Platform:': ' PC Download'},Fred is not dead,Hard customer support but good software.,Hard customer support but good software.,1407110400,,
4.0,True,"08 3, 2014",AX3RYFAA7QHS4,B00EZPXYP4,{'Platform:': ' PC Download'},Michael,"Where else can you renew your subscription for 30 bucks.  Not on Norton. I have used Norton for the past 4 years and it has worked well for
me, you know it was not so good at one time however for me it does the trick.  It is like everything there a good points bad points. Not  everyone likes the same thing. For me it has protected three pc's with minimal problems.  Can't beat Amazon price. Thanks Amazon.",you know it was not so good at one time however for me it does the ...,1407024000,,
5.0,True,"07 28, 2014",A3UEGYW49RUP1P,B00EZPXYP4,{'Platform:': ' PC Disc'},Judy,Best program for protection the computer with by Norton......,Five Stars,1406505600,,
5.0,False,"07 27, 2014",A35QFQI0M46LWO,B00EZPXYP4,{'Platform:': ' PC Disc'},Christopher C,Great deal for three computers. Only one year but the ones I needed to license were older and may not even be needed after a year. I have always used Norton products with hardly any problems or conflicts. Once you set it up it runs on it's own and so far I have not hav a single virus kill any of my computers in many many years.,Norton 360 is pretty darn cool...,1406419200,,
5.0,True,"07 13, 2014",ANG2AWNVEZR57,B00EZPXYP4,{'Platform:': ' PC Download'},Amazon Customer,Excellent!,Five Stars,1405209600,,
5.0,True,"07 6, 2014",A30OI8J3O6OSCZ,B00EZPXYP4,{'Platform:': ' PC Disc'},George T. Sumner,Operates good as always.,Norton 360 2014,1404604800,,
4.0,True,"07 3, 2014",A2DW7QRJYJUY3Z,B00EZPXYP4,{'Platform:': ' PC Disc'},rangerone,Haven't installed it yet....still good for 3 more months....I've used Norton now for 15 years....no complaints...,still good for 3 more months,1404345600,,
3.0,True,"07 1, 2014",A1IZUYUKA5FO39,B00EZPXYP4,{'Platform:': ' PC Disc'},Billy E. Maddox,"Like a couple of other Virus programs, it's been around awhile.  This latest productions does it all, and even allows you to re-install it even toa different PC, in case you traded units. It is also all done by yourself using your previously created account with McAfee (free!).",It's Been Around A Long Time,1404172800,,
4.0,True,"06 28, 2014",A9I5M2OT66XAX,B00EZPXYP4,{'Platform:': ' PC Download'},Adit,"I have been using this anti-virus software for several (>5) years and, overall, I like it. It does not take up a lot of space on the disk and there is very little overhead running it in the background. Finally, it does the job. It is becoming increasingly difficult these days to download a program of one's choice without having a million other offers at the same time and sometimes it is difficult to tell if you are installing the program you want. Anyway, Norton 360 helps screen out the programs with built-in viruses and trajan horses and alerts you in time.",Norton 360 2014,1403913600,,
5.0,True,"06 25, 2014",A22HDGUSOJO4SY,B00EZPXYP4,{'Platform:': ' PC Disc'},AirThunder,I have used Norton with all my computers for the past 12 years and have never had any issues while using it. Great protection for all your computer needs!,Security for all my devices,1403654400,,
5.0,True,"06 24, 2014",A1OWO0HUEVXCJI,B00EZPXYP4,{'Platform:': ' PC Disc'},jb,I have been using this  product since I bought my laptop in 2009. I used to periodically have problems with my other computer even though I used another thought to be good protection. I have not had one problem in the six years I have been using norton 360. It also keeps the computer tuned up and running efficiently.,best computer protection,1403568000,,
5.0,True,"06 17, 2014",A15PXK8CBQPJ6X,B00EZPXYP4,{'Platform:': ' PC Disc'},Phil,Great Product and good Price. Quick Shipping.,Five Stars,1402963200,,
5.0,True,"06 11, 2014",A381C6UUUIAB4V,B00EZPXYP4,{'Platform:': ' PC Disc'},NoBS,"I have been using Norton since the early 1990s, after a virus wiped my whole hard drive clean. Of course back then it was 30GB. I still have it and it is nestled in with my 3 other 1TB drives. It is more of a novelty, but it works. Since I have been using Norton, I have never had a virus infect my system. It has detected and removed many over the last 29 years. This was the quickest and most seamless upgrade I have done yet, not that it is hard. I highly recommend.",One Of The Best On The Market,1402444800,,
5.0,False,"06 7, 2014",A112E6NE5MGEFM,B00EZPXYP4,{'Platform:': ' PC Download'},amazone,"Firewall is strong as well as, Antivirus engine can't be beat by others. Links checker engine keeps for your safety almost 100%, Phishing tool is alright enough to protect your privacy at the bay. All files in PC always be checked with Symantec Database by real time. Five layers to protect PC from cyber crime.",Made in USA,1402099200,,
5.0,True,"06 2, 2014",A3QTARPQHP2VVH,B00EZPXYP4,{'Platform:': ' PC Download'},Kenya C.,This was my first time using amazon download. It worked as promise and I will use it again next year.,Excellent item,1401667200,,
5.0,True,"05 11, 2014",A1O16J4RN90W3H,B00EZPXYP4,{'Platform:': ' PC Disc'},CD music collector,"This is a great buy and a steal. Norton charges 266 percent more for on-line renewal. A yearly charge of $34.00 with this package with 3 licenses versus a price of $80.00 for yearly renewal!. GO figure! I am glad that AMAZON notified me that this deal was available for purchasing online from them.
I highly recommend this Norton 360 package. It is definitely a great buy at this price! I will continue to purchase yearly as long as this deal in available from AMAZON.",This is an excellently priced Norton-Antivirus Progam!,1399766400,,
5.0,True,"05 9, 2014",A160SYE0A14IZ3,B00EZPXYP4,{'Platform:': ' PC Disc'},Peter B. Tobin,I very seldon have a problem since I've installed Norton's . Norton's isn't full proof but it does a pretty good job.,Norton works good,1399593600,,
3.0,True,"05 3, 2014",A1QA2NTJYW5W0C,B00EZPXYP4,{'Platform:': ' PC Download'},Clifford H. Campen,"I bought this when it was offered at a special price and use it in a household with G Data Internet Security.  It is installed on a PC which is used by my wife who likes free games.  That said Norton 360 does not handle PUP (potentially unwanted programs) at all well.  I will also comment that Free Ride Games deserves a solid slap for delivering a host of unwanted programs.  Where the user has the opportunity to decline these programs the screens where you must accept or decline these programs are deceptive.  Just as a comment to how Symantec Systems (Norton) does business this software ultimately was purchased to replaced PC Tools Internet Security.  Symantec Systems bought PC tools and then took them off of the market forcing me to change the antivirus software on 6 computers in the family.  Folks with a long memory will remember that this is not the first time that Symantec has done this with good products.  360 is an older attempt at an antivirus, system tune-up, back-up software and I don't think it does anything well.  Norton offers another antivirus program and if you must use Norton - folks have good luck with them.  I would recommend that they have more dedicated antivirus offering and that prospective buyers should investigate that..",Probably Not Norton's Best,1399075200,,
4.0,True,"04 13, 2014",A2HLVJ7S6VGA4,B00EZPXYP4,{'Platform:': ' PC Download'},DU in Hawaii,"Since I've gotten Norton, I have seen various atacks where Norton prevented an invection and any resulting problems.  I especially like Identity Safe which automattically inserts my user name and password.  I'm just a casual user so what I don't know is if Norton is slowing down my notebook.  I guess at some point in time I may remove it just to see.  However, I usually find that with time, Windows almost always inevitably slows down.

I was going to switch to Kaspersky, but read that Kaspersky is somewhat heavy and is known to slow down the OS, even if slightly. Since I like Identity Safe, I decided that for at least one more year, I would stay with Norton.",Seems to work well,1397347200,,
1.0,True,"04 13, 2014",A1U98C6PV9IBZA,B00EZPXYP4,{'Platform:': ' PC Download'},Binkie,It's like i was many years ago. It's a memory hogg and slows down my computer to a crawl. Uninstalled and ordered Kaspersky Anti-Virus.,Horribly,1397347200,,
5.0,True,"04 12, 2014",A2DMQB5ZGGSSBO,B00EZPXYP4,{'Platform:': ' PC Disc'},Mark,Always purchase it for next year when on sale. Easy to install. I recommend this product. Not had a virus in 5 years of using it.,Nice price,1397260800,,
5.0,True,"04 1, 2014",A11T43WK7C7OR4,B00EZPXYP4,{'Platform:': ' PC Download'},Olmstr,I have two win 7 and one win 8.1 machine that I don't have to worry about catching a bug.  Also have a MAC that never fails but at least now my Win machines are secure.,"Mines securre, is yours?",1396310400,,
4.0,True,"03 20, 2014",A2WYTI7RYF2A29,B00EZPXYP4,{'Platform:': ' PC Download'},Frank P,Norton 360 is a good product. But beware if you install it before your current subscription expires it resets your expiration date for only one year.,Used Norton for Years,1395273600,,
1.0,False,"03 12, 2014",A3OPKL03NFOSZJ,B00EZPXYP4,{'Platform:': ' PC Download'},Gus,"I have been using Norton for a long time, ever since the Norton Utilities and this is something that really irks me, as it would you. I had 41 days left on my subscription, when I clicked on the link in the control screen to renew now it took me to their web site where it clearly states that a 2 year subscription for the product was 59.99. I clicked on the ""Renew Now"" button and went through all their steps, never being aware that I was being switched to their Premier eddition for 2 more devices and only one year. When it finished I checked the number of days left on the license and it showed only 366. Not only did it upgrade me without me wanting it, but it ate my 41 days.
Contacted customer support, which tried to appease me by adding the 41 days, which never happened. I requested to be escalated to a supervisor, and I am still waiting for a call back. They requested 48 hours to resolve the issue! Unheard of! If I treated my customer this way I would not have any customers. Stay tuned for the supervisor response.
My advice is to get something else, or instead of renewing the subscription buy a new version from Amazon and install it after your old license expires.
Update: Support didn't call back within the promissed time frame, instead they called Sunday morning and sent an email, nice trick, they know most people are not available at that time. What they asked for was the link to the renewal site, I told them the same thing as before, the product has been updated, the link is not the same!
As much as I hate to say it, I will be looking for a new product next year, but not McAfee, they have the same issues with support, and it does not work well on a multi-processor machine, it sets you up more than once for the same device!",Beware of subscription renewals that actually upgrade you to a new product for less time.,1394582400,3,
2.0,False,"03 11, 2014",A2P6QCZWW3H1X6,B00EZPXYP4,{'Platform:': ' PC Download'},Londonnoise,"I think as Norton have tried to add more features, this thing has become too bloated and also too 'vocal' with popups coming up for everything, just like it needs to justify it's existence and expense somehow. I honestly think that the less resource-intensive and free offerings such as the Microsoft offering and even AVG, coupled with taking some care what attachments and links you click on are far better than spending money on this sort of thing.",Too 'Spammy',1394496000,,
5.0,True,"03 10, 2014",A2VWE5SGNDS8HW,B00EZPXYP4,{'Platform:': ' PC Download'},tachi1,"Norton has gotten more thorough and un-intrussive as time goes on. It stays more in the background, seems to draw less computing power, and is less domineering than it used to be. It has always been a good anti-virus program, but it used to cause as many conflicts as it prevented (there used to be the .dll file that was a source of annoyance through several versions!); and didn't interact well with other programs and/or make its presence felt in many annoying ways.

Luckily, it has put all that behind it: it works in the background; doesn't interfere unless it has to due to a real threat; doesn't slow anything down; doesn't try to run the show; and still gives you a level of protection that makes you feel secure.",Very pleased with how the program works.,1394409600,,
5.0,True,"03 8, 2014",A1WPTHYWUTEIZQ,B00EZPXYP4,{'Platform:': ' PC Download'},BuckStar69,"I have been a Norton user for a long time and have been happy with my results. Have never had any issues with viruses, malware and the like, so I guess it has been working. It gives me a monthly recap of what has happened. Plus, this version has a password manger (which I love) and some other utilities. It is a good buy.",What's not to like,1394236800,,
4.0,True,"03 5, 2014",A2A33I5BISEN03,B00EZPXYP4,{'Platform:': ' PC Disc'},Alestair David,"I have been using Norton 360 for sometime and have no problem with the software. The main problem is with Norton customer support. It takes too long even to ""chat"" online.",Good security software,1393977600,,
5.0,True,"02 24, 2014",A7NUXXOKGQQKP,B00EZPXYP4,{'Platform:': ' PC Disc'},Thomas Serface,"I've been using Norton 360 for a few years and I've found it is cheaper to just buy a new copy every year than it is to upgrade the subscription from Norton so I just order order it from Amazon.  I think that paradigm is weird, but I save a few $$$ so I don't mind reinstalling.  It's smart enough to uninstall the previous version first.

The virus, spyware, and email spam checkers are my favorite and they don't slow down the computer much that I can tell.",Still works,1393200000,,
5.0,True,"02 21, 2014",A3QIQLPZGYQ3AJ,B00EZPXYP4,{'Platform:': ' PC Disc'},Long time customer,worked great,Five Stars,1392940800,,
4.0,True,"02 19, 2014",A1501C38OCSEMA,B00EZPXYP4,{'Platform:': ' PC Download'},Ymjauthor,"There's not a whole lot more to say about this Norton product. I've been using Norton for year. Even back in the day when you could buy one license software version and without having to pay for a new version each year, you could just download updates. Long gone are those days. The stickler part of this is that we need protection for our electronic devices. I will say, that last year I paid $80 for this software from the Norton website, but I purchased this download from Amazon for only half that price. Keep that in mind when it comes to renewing your virus software.",What You've Come to Expect From Norton,1392768000,,
5.0,True,"02 15, 2014",A37SGUQGIDFOKK,B00EZPXYP4,{'Platform:': ' PC Download'},Lee,I purchased this to upgrade my software.  I liked the multiple programs all in one.  I would definitely recommend this.,Norton 360 2014,1392422400,,
4.0,True,"02 13, 2014",A24AB6DJ00YOJ6,B00EZPXYP4,{'Platform:': ' PC Disc'},Dan,"I've used Norton products for years and haven't had any issues.  I personally think Norton 360 gives you ""more bang for your buck"" and just upgraded to the 2014 edition.  I do however like to have the CD version vs downloading.  Also you save a lot of money by buying through Amazon rather than renewing on the Norton site.",Great Product,1392249600,,
